feature,importance
pobre,0.0007409639858405767
falta,0.0007393192177162494
definitiva,0.0007391221316642624
cómplice,0.0007378874804226951
considerar,0.0007365528062378402
entonces,0.0007329502084736299
decreto,0.0007306931700722847
proponer,0.000729645578384074
femenino,0.0007275096390491636
adoptar,0.0007251238200375272
país europa,0.0007226392686130855
profesional sanitario,0.0007154850846433765
juez,0.0007097421623925569
cuota,0.0007090418428238991
significativo,0.0007019756699767607
adoptado,0.0007002413868556628
artículo,0.0006998680144676802
libertad,0.0006997375733153765
diésel,0.0006989600309262841
integral,0.0006973702158933618
condición laboral,0.0006954672623811621
producir,0.0006953600164447504
complemento,0.0006941970784456824
unión,0.0006920950309766621
territorio nacional,0.0006917238440513262
formula vicepresidenta,0.0006898716539519828
referente,0.0006896817871238134
crisis,0.0006883261762372628
2019,0.0006867720780751177
abusivo,0.0006859737567461888
representante,0.0006857499032788724
pues bien,0.0006828788356559513
ribera,0.0006807958491444157
incorporar,0.0006806833385406965
transitorio,0.0006768740619915559
pacto,0.0006741479573647269
parlamentario congreso formula,0.0006707927155076768
rápido,0.0006706291580423921
fundamental,0.0006700849689768529
ruptura,0.0006686256259978196
marea,0.0006680155791405239
complicado,0.0006674160586946127
colocar,0.0006604153715419405
paro,0.0006599087277076318
error,0.0006592725436544665
lugar,0.0006581868788029686
violencia,0.000656751899225641
buena,0.0006549627776301847
unión europea,0.0006543631864790733
duda,0.0006541346877624406
semana,0.000649082954216706
señoer,0.0006411779314251074
bloque,0.0006404643074333995
constitucional,0.0006394042499636133
subcomisión,0.0006367056051972476
defender,0.0006358151216095839
reducir,0.0006352093287102272
consulta,0.000632854291636021
tribuna,0.0006323158117040144
fíjese,0.0006303374647637298
ejecutivo,0.00062530170201051
país aplausos,0.0006244748662087067
rumores,0.0006238858202365023
embargo,0.0006224383578484311
comisión,0.0006221727969272108
seguridad,0.0006196582801839211
proyecto ley,0.0006166357150457402
familia,0.0006163621924498225
disposición adicional,0.0006143975242958999
ordinario,0.0006117400988761602
exactamente mismo,0.0006094700270525755
firme,0.0006091270460647794
instancia,0.0006050962459759751
diputado bien aplauso,0.0006042592726817244
2010,0.0006034184831373566
reino,0.0006018585054671227
expediente,0.0006007631300609645
necesario,0.0005973202023150527
exento,0.0005955427659809399
rescate,0.0005917091684688017
laboral,0.0005912291496604731
protocolo,0.0005865296141971962
despoblación,0.0005830420735911259
imprescindible,0.0005815226182710703
fase,0.0005806320955564725
afirmar,0.0005786274615329212
vía,0.000577960455643025
persona trabajar,0.0005752718257064542
servicio público,0.0005733175494641517
acoger,0.0005732099060151203
gracia buena,0.000573131952595081
reconocido,0.0005727710932196346
puesto,0.0005719923976511498
protección derecho,0.0005716205308671189
mayoría,0.0005696887334072867
organización,0.0005677803592567477
real,0.0005673837801958196
conseguir,0.0005661884708758528
número expediente 180,0.0005611243957107211
lado,0.0005562188050075094
prensa,0.0005554175548391948
institución,0.0005534029845458787
demá,0.0005511694206293135
impulsar política,0.0005503027863948379
niño niña,0.0005495481453812788
derecho poder,0.0005490308665121943
texto,0.0005484639378408949
euro,0.0005475941943068562
actualización,0.0005469329163185394
traer,0.0005465152626507279
manera,0.0005459449491975117
tomar,0.0005414740059705236
expediente 180,0.0005408847970720161
seis,0.0005402719731876183
tener hablar,0.000539041620506927
existencia,0.0005383142930946276
comenzar,0.0005376178816361021
salario mínimo,0.0005347940228281167
complejo,0.0005347394505130841
medio,0.0005338839569886054
año 2015,0.0005303072671564124
representar,0.0005301784210322803
reglamento,0.0005294554627490194
siguiente,0.0005268877198238173
grande,0.0005258584100240733
alejado,0.0005247730731649732
tono,0.0005233952040050981
implementar,0.0005227930879775312
sociedad,0.0005223476449471832
autónoma,0.0005218710301529401
resto,0.0005216286623003201
cooperar,0.0005190589950009039
diputado,0.0005188883455909412
cada día,0.0005174712220801364
aplausos tener,0.0005170672148700577
reconocimiento,0.0005157563982566515
negociar,0.0005147526063180257
hecho,0.0005146217429177903
presentar,0.00051424663986894
funcionar,0.0005131948612808659
cuidado,0.0005102767883032241
preferir,0.0005097782425504165
prioritario,0.0005062669404058874
mujer,0.0005059886645462676
tramitación,0.0005051424293938164
tener honor,0.000497341243008169
seis año,0.0004969326765649352
poder judicial,0.0004966889731977414
activo,0.0004964275593389696
estatuto,0.0004948950970659453
coordinación,0.0004947386336795401
breve,0.0004941475953632839
registro,0.0004929025095988965
escuchar,0.0004920217173407262
discapacidad,0.0004915725365499085
padre,0.0004898025608839367
legislativo,0.0004885320358386174
civil,0.0004885309433877849
proporcionalidad,0.0004869103047253999
ataque,0.0004852354271446418
ideología,0.00048482579091786623
unido,0.00048096489442630994
social país,0.000479804606815558
intervención,0.0004793589608501451
reactivación,0.00047897664085885897
fiscalidad,0.00047708618117263705
comunidad autónomo,0.00047562916102674634
nombre,0.00047549505902310025
tipo,0.00047532671492191153
mejor sistema,0.00047299362009215254
enmienda,0.0004702969982443354
tejido,0.0004697955159957855
año 2018,0.00046897966870867585
plural,0.0004688296249420782
pérdida,0.00046770045219828683
corrupción,0.00046640955410084484
papel,0.0004657622071006642
tal,0.00046551445557182195
necesariamente,0.0004654185457757854
nuevo tecnología,0.00046173028270348154
accidente,0.0004609796706032337
termino,0.00046077544374469834
2005,0.00046033055295726554
propio,0.00045819710534985257
final,0.00045802101276549246
democracia,0.00045797804216339956
calvo,0.0004576099505733882
bonito,0.0004563880739724759
apostar,0.0004554380702983623
disposición,0.0004550657716801372
lista,0.0004550452929259815
exteriores,0.0004536519842188354
precariedad laboral,0.0004523411198500334
europea,0.00045026202037731533
tributaria,0.00044971556512822725
empleo seguridad,0.0004489097103487562
introducir,0.00044821909230474883
copago,0.00044815642403010406
50,0.00044769449047370695
infracción,0.0004464029106277368
educación,0.0004463181712098357
universidad,0.00044630258099904893
tener ver,0.0004462724274741803
serie,0.00044463811677529264
tener trabajar,0.00044432346625738046
pregunta,0.0004440312494035626
complejidad,0.0004438704578532385
unanimidad,0.0004430289278988636
toma consideración,0.0004416729208198418
programa,0.00043785424931933915
grecia,0.0004375189352032749
cláusula,0.0004367992751969973
borde,0.00043679019178055785
recuperación transformación resiliencia,0.0004358769156561078
reclamar,0.00043582853424329183
injusta,0.0004355873858299217
generosidad,0.00043530136833345697
motivo,0.00043506110315124263
golpe,0.00043469855107569323
satisfacer,0.0004327975213928393
aeropuerto,0.0004323225899441
comprar,0.0004313648520243801
pago,0.00043124015240803123
empleo empleo,0.00043101983066669866
formar parte,0.0004301076043481858
mediante,0.0004284238208759712
sacar,0.00042816053610895917
proposición,0.0004277959538836437
balance,0.0004273291758633805
previsto,0.0004266267157861248
ustedes,0.0004257363709894068
articulado,0.0004252215500089083
oposición,0.0004239541611104799
valoración,0.0004237728758280715
delito,0.00042374766637907836
supuesto,0.00042337981297054184
rechazar,0.0004228689294989174
sucesivo,0.000422613466597429
president,0.0004223523497014294
colaboración,0.00042209218836352844
aun,0.00042048069069521325
000,0.00041986912623483114
referir,0.0004195730168786926
desgraciadamente,0.00041944269797493345
luis,0.00041935028563090367
creer firmemente,0.0004192707849092033
garantizar seguridad,0.00041899896062077446
aplicación,0.0004181520096509991
territorio español,0.00041746698726933135
terminar,0.0004162286176042976
banco españa,0.0004155215318584854
frontera,0.00041316762326626643
franqueza,0.0004130641568842601
policial,0.00041250988693455616
solución,0.00041229442820637266
poder entender,0.00041209728786473617
faltar,0.00041164187565216593
resto grupo,0.00040970006992379504
buscar,0.0004090447891201589
política empleo,0.00040893412139639013
protección,0.0004087522017793333
costa,0.0004085120981797051
código penal,0.0004077923470970138
innovación,0.000406180246304092
creación,0.0004051218780118312
cuanto,0.00040225967365693994
pensión,0.0004014155515617742
concretamente,0.00040046062268693353
fiscalía general,0.0003981759864857591
doña,0.00039771658364885434
acostumbrado,0.00039702685045607197
administración,0.00039668992826544334
cortes,0.0003965214214095107
poner acento,0.0003943293176447622
trasposición directiva,0.0003939701075604478
trabajador país,0.00039310935694841055
acabar,0.00039231334949078336
sistema público,0.0003918918157257782
resto europa,0.0003905727490729775
demostrar,0.00039049421978250775
dudar,0.00038901413839770164
diputado cámara,0.00038543954213629956
economía,0.0003849107729470273
consejo ministros,0.000383180858190136
constatar,0.000382750833022143
mencionar,0.0003824669369643189
empresario,0.0003818772254099443
13,0.0003809155600910141
comilla,0.00038032772411445456
confrontación,0.00037943115721534687
seguir avanzar,0.00037903906446072714
adelantar,0.0003783880223750556
adecuado,0.00037817293927468334
parámetro,0.0003779992051550672
salario,0.00037794661661594156
reforzar,0.0003777720501883304
redacción,0.00037739253967365905
reducido,0.0003769368979125134
ahí,0.00037595264819891114
tener alguno,0.00037536525339637404
supremo,0.00037472613016616444
báñez,0.0003745613651752165
tribunal,0.00037377798076659467
joven,0.00037339712850471254
materia vivienda,0.00037274732224102226
peligro,0.00037238604963216404
solidaridad,0.00037202234281686594
convencional,0.0003714089938763856
cuenta,0.0003714068753226489
estrategia nacional,0.0003710867032573901
250,0.0003705173053084212
representativo,0.00036973437708943946
cerrar,0.00036971560880579333
legislativa,0.000369482722549765
querer dar,0.00036871937877254837
interpelación,0.0003685138474024054
reconocer,0.0003684881325283746
conocido,0.0003683948716726897
apoyar,0.0003681590934764418
empresa,0.0003681464253041182
punto porcentual,0.00036814288134887855
35,0.00036781041462071546
debilitar,0.00036722469964604556
sectorial,0.00036719276044633667
terrorismo,0.0003664541859396422
pasado legislatura,0.0003635763779506627
grupo parlamentario confederal,0.00036342846655971166
ver aquí,0.00036331252094884344
siquiera,0.00036177483244030254
cuerpos seguridad,0.00036150862144418433
congreso diputados,0.0003606977557103841
insuficiente,0.00035844374971311105
respeto,0.00035813739787614345
sanidad,0.00035810661628589175
actuar,0.0003575259337546623
fundamentalmente,0.00035689248778006014
regalar,0.000355963302927028
cerca,0.0003559148714082238
transferencia,0.00035574437662831845
contexto,0.0003553667972896637
votación,0.0003546914710622055
modelo,0.0003537980566837484
recoger,0.00035362888479961415
extensión,0.0003527513870405452
rigor,0.0003519276374578051
consumo,0.0003516192871700278
presupuesto,0.00035100679510959525
tres,0.0003501276023275855
votar,0.0003499479772256008
caber,0.00034993502322824794
demagogia,0.000349919260843449
grupo ir,0.0003494033731247862
poner marcha,0.00034860648858199875
deporte,0.0003484427865528296
ministerio justicia,0.00034798406740585815
virtud,0.0003479818414182029
relación,0.0003479507089323352
suponer,0.0003479361499150731
centro educativo,0.00034776500787215767
semestre,0.00034771035881080197
pasado,0.0003476683037560525
científico,0.0003472289675140523
modernización,0.00034591479112665936
lleno,0.0003457948239358916
deber seguir,0.0003457434786254682
casi millón,0.0003456064201072305
muchísimo,0.00034538397507463036
fuerzas,0.0003440858892286385
policía,0.00034397277764659106
transparencia,0.00034373064072036125
básicamente,0.000343666934174475
deportivo,0.0003434274903910056
competitividad,0.0003408445649534298
venir aquí,0.0003402106673525133
denominar,0.0003401750713592588
paralizar,0.0003397600770597858
ocupar,0.00033974311106948005
agua,0.0003392445792458383
vetar,0.000339242679541761
ciencia,0.0003386248340150241
caso tener,0.00033744478320505057
diverso,0.0003374144561386261
especialista,0.0003367783934444154
información,0.0003364606941175666
ayudar,0.0003359676565194409
tramitación proyecto,0.0003355945374431765
garantisto,0.00033298794905140905
utilizar,0.00033292691042688714
salud,0.0003325026707228517
plan,0.0003322559960337034
2017,0.00033179373257277505
vivir,0.00033075220016225615
despacho,0.0003303872574016413
ciudadano ir,0.0003301345884425619
establecer,0.00032957782084675575
existente,0.0003293702984158459
sociedad catalán,0.0003293187037489898
transaccional,0.00032900079885211713
múltiple,0.00032762830802549145
población,0.00032760156191713864
ciudadano español,0.00032731811108129515
unidas,0.0003269901334376669
pues,0.00032656071080147843
plano,0.0003257676628191906
relevante,0.0003257282149064989
ir lejos,0.0003253501951516207
anunciar,0.0003249687596552374
particular,0.0003246412682443097
comunidad autónomo tener,0.00032356764734512333
leer,0.00032286872648951847
cada vez,0.0003228623648058698
diálogo,0.0003225118645496185
quiebra,0.0003223498231359328
patriotismo,0.0003221229174923549
mirar,0.00032150672472682943
crisis financiero,0.00032115152295991175
ágil,0.00032050899490900707
ambiente,0.00031991495735502043
fin,0.00031941286180480177
millón euros,0.0003183920196294662
parte país,0.0003183489172699227
negro,0.0003166948230643769
protegido,0.000315968965084486
ir acabar,0.0003158624756172357
multa,0.0003158380754811025
toma consideración proposición,0.0003151994103726198
capacidad económico,0.0003147325811748631
claramente,0.00031466263508736443
razón,0.0003143542726322247
continuar,0.0003142087093766668
centro,0.00031382666789515516
órgano,0.00031362730022898634
robar,0.00031342460989818705
consejo,0.00031324873271488656
cien,0.0003121168737392478
resolución,0.0003116419272077198
materia,0.0003116167814609425
plazo,0.00031149791703720506
informe,0.0003114166157082405
2030,0.0003113561485925563
trata,0.0003112953747645026
importantísimo,0.0003109191451583194
ofrecer,0.00031085683735266754
casi,0.0003107944884592031
homogéneo,0.00030981289828521023
momento crisis,0.0003097906596167933
repito,0.0003088864530385704
explicación,0.00030886883005688907
derivar,0.00030878832312092444
luego,0.00030833276928129077
general poder,0.0003077992881854378
resiliencia,0.0003076269008988147
volver,0.0003074503296381744
hombro,0.0003072613204356067
aprobar,0.0003068517507561631
tomar decisión,0.00030592694188248887
interrupción,0.0003056675427982533
josé,0.00030539945693820617
ambiental,0.00030516391332251235
encima,0.0003051437063055971
vicepresidenta,0.000304555385151274
norma,0.00030331366112651913
presente futuro,0.0003025708085180231
sanitario,0.0003025498343544606
portavoz,0.00030234319771155877
reino unido,0.0003022517125354242
derivado,0.00030133184346339066
extremo izquierda,0.0003006129477467747
conectividad,0.0003003663970307535
marco,0.0003001449953641477
presente,0.0002998893056712217
respetar,0.00029982054626280573
muchísima aplausos,0.0002990665485153751
formar,0.00029839905165978336
agente social,0.00029688545706938043
impuesto,0.00029675078789890387
120,0.00029623907292114434
sufrir,0.00029623324469684554
generar,0.0002958044991242318
orgulloso,0.0002954896053618904
incapaz,0.0002948606076439284
tratamiento,0.000294807736110909
organismo,0.00029460399421102985
aunque,0.0002943602615738161
insisto,0.0002942417364131768
manifiesto,0.0002937640773799849
todavía,0.0002918634312418202
hernando,0.0002901938010901602
país unión,0.00029007907556253556
separación,0.0002893000233924803
lamentable,0.0002890254582217753
noviembre,0.0002889533300256683
liquidar,0.000288893352672106
anterior,0.00028841500854524555
vista,0.0002883747132100455
desempeñar,0.0002879186545913734
negociación,0.00028726061964592003
acompañar,0.00028697885898146676
diversidad,0.00028568962952300924
valer,0.0002853090269747877
enviar,0.00028525856144595525
empezar,0.0002840701491116651
ejemplo,0.000283935627287038
deuda público,0.00028380796327078954
21,0.0002837335571347386
función público,0.00028358122515397715
siempre poder,0.00028335234554746397
allá,0.00028310779406765527
8000 millón,0.00028302739666197756
comparecer,0.0002829507814380764
22,0.00028213356843939154
tener obligación,0.0002812843751664197
manifestar,0.000281101730952505
pertenecer,0.0002810614018373627
producto interior,0.0002806744970741725
exigencia,0.0002805959767552545
justicia,0.00027958636540497425
etcétera,0.0002793394275022907
petición,0.00027921477474146864
casualidad,0.000278810898809678
institución europeo,0.00027873704130086294
especialmente,0.0002778118871470271
magistrado,0.0002776248562091427
tomar medida,0.00027709696014014806
principal,0.0002768159192153998
acudir,0.0002766083059048597
aprender,0.0002762540524781637
instar,0.0002758005503194907
después,0.00027536873947833784
españa poder,0.0002751768760687256
futuro mejor,0.00027515684618271784
obligado,0.0002750628934454611
misión,0.0002749820823053637
efecto,0.00027486715428903
tardar,0.0002743284653659652
llevar cabo,0.0002742872436090395
coincidir,0.00027426363387216413
ley transparencia,0.00027404148093547817
electrónico,0.00027348229015241763
proceder,0.0002734289398849838
debeer,0.0002730563035417345
anteproyecto ley,0.000272973817255118
promover,0.00027281566843450527
cualquiera caso,0.0002728069279711853
1500,0.00027251457989057204
climático,0.00027168349378114975
celebrar,0.00027150649032159027
resolver,0.00027116081519101885
organismo internacional,0.00027107258453213463
señal,0.0002710018738704742
parecer,0.0002698803859465538
irregular,0.00026958822454444366
despejar,0.0002694166584981062
actividad,0.000269228322306885
implicación,0.0002686781399360019
insostenible,0.0002685441577020786
40,0.00026721261487497387
correctamente,0.00026679231803864464
mafia,0.0002664746267635698
consecuencia,0.00026569594193600715
año 2014,0.0002656728488112588
tránsito,0.00026559725614053046
puerto,0.00026556694943035206
vergüenza,0.00026545972186636595
dimitir,0.0002652166347986098
aislado,0.0002648652615250108
inicio,0.0002644258760139024
encontrar,0.0002643451471503447
país tener,0.0002643440779070817
ahora mismo,0.0002641659614188415
producto,0.00026393320455162666
introducción,0.0002637231628251808
obstante,0.00026331485605254987
evitar,0.00026304535282647057
origen tránsito,0.0002630227239731638
superior,0.00026224049926117045
judicial,0.0002620244258603882
público tener,0.00026161015153223556
tirar,0.0002616095808646585
españa hoy,0.0002614241703351071
año pasado,0.00026130215067166995
infraestructura,0.00026129262648661236
fomentar,0.00026118415014079994
atribuir,0.0002610896797069285
realizar,0.00026105711066790586
fondo,0.0002609084838296076
sentir,0.00026067568369760616
poder llegar,0.0002605366443254065
responsabilidad,0.0002602882660903138
sedición,0.00026020322743651296
esfuerzo,0.0002600211633503247
decente,0.00025963014519450324
señoría grupo parlamentario,0.0002595315188626347
año 2011,0.0002592679272259411
directo,0.0002591411585389238
eficacia,0.00025813056446628396
general poder judicial,0.0002578379899505347
violencia género,0.00025727037965604703
fácil,0.00025726631908052505
pasivo,0.0002569819401494587
dotar,0.00025682052234538314
eta,0.000256530744824245
700,0.000255654185146056
prohibir,0.00025524100756945756
dependient,0.0002552167998978269
realidad,0.00025509724336954
ere,0.00025453000119628167
vigente,0.0002543304323200408
500,0.00025426126688538763
grupo grupo,0.00025419878720060453
recurso humano,0.00025419449638291823
poner foco,0.00025410513599920134
entorno,0.00025323819467367576
alguno aspecto,0.0002530305092151545
tener cuenta,0.0002524090063554012
temer,0.0002522745377103335
autónomo pyme,0.00025136690717780043
aumentar,0.00025117924370164277
mayo,0.00025105704056443495
trámite,0.00025100620993931806
definir,0.00025080305058496787
legalidad,0.0002504250209295564
ley ley,0.0002503849788289183
000 persona,0.0002494859685189941
bonificación,0.00024938623086759825
garantía,0.0002493107161727677
cargo,0.00024891194370366495
ver tener,0.00024878964513318696
año 2009,0.00024861342905742594
modifico,0.0002477485429029831
debatir,0.0002477286577522852
congelar,0.00024751448618521465
implantación,0.0002474280291297105
grupo presentar,0.00024733710034206884
hoy tener,0.0002471053041529158
labor,0.00024698312190586766
favorecer,0.00024684730129198275
perfectamente,0.0002468113227419638
protestas,0.0002466505970507485
europeo,0.00024650759687291663
frente,0.00024648821608034047
sinceramente,0.0002458928903583376
esquerra,0.00024585072437114324
valor,0.0002453683406977481
urgente,0.0002452592261757463
prórroga,0.00024496144001378065
bajar,0.00024493566469871203
hablar alguno,0.00024487707985948763
determinar,0.0002448015533919261
juicio,0.0002447776041668869
ministerio fiscal,0.0002447213079428339
política público,0.00024454952373539305
consideración proposición ley,0.00024436290473583137
pequeño mediano,0.0002442712496354472
firma,0.00024406732652336989
olvidar,0.00024395800792252097
parado largo duración,0.00024383133948644638
simple,0.00024350741649618393
juzgado,0.0002428783137203524
mientras,0.0002423604996478624
soberanía nacional,0.00024233989172781843
riqueza,0.00024171654162219702
lograr,0.00024157598108026483
campaña,0.0002413263618604743
base,0.00024126212346777735
iniciativa,0.00024121880097745688
paz,0.00024112282924396652
venta,0.0002405155875440326
recaudación,0.00024014428090211482
cultura,0.00023946553849229948
prejuicio,0.00023917723419122588
seguro,0.00023914310892554717
independencia,0.00023861413915680286
constitución ley,0.00023839955514878613
residencia,0.00023837435706206507
derecho trabajador,0.00023828888947511291
hoy aquí,0.00023823680997841506
integridad,0.00023788307794989934
dos cosa,0.00023747381299022002
exactamente,0.00023742472081407257
mes después,0.0002374149107790724
habitual,0.0002373113924869222
herido,0.00023711698045269852
diagnóstico,0.00023706987906764652
año 2013,0.00023701073252468117
dificultad,0.0002368713258347571
familia trabajador,0.00023640713698479398
ministerio,0.00023629913759527663
señores,0.00023563997109708206
aprobación,0.0002352769332200942
problema tener,0.00023517845127417607
callar,0.00023507738135470786
estructural,0.00023507167193255856
confederal unidos,0.00023493648427758284
prisión,0.00023443622318568145
déficit deuda,0.00023431030415330717
covid 19,0.00023370170373120046
enorme,0.0002334447283547191
servidor público,0.00023298532482658436
ejercicio,0.0002328675749175503
lucha,0.00023236570839418855
impulsar,0.00023212290031776795
ir permitir,0.00023154093781120193
facilitar,0.00023139335511972373
defensa derecho,0.00023127744090180186
político querer,0.00023113069989321515
decisión,0.00023085476865466193
buen,0.0002307508774537773
comienzo,0.00023061408516968226
parcial,0.0002305469346580539
ir ver,0.00022960393604697942
ámbito,0.00022960162546359684
toledo,0.00022927975343353023
39,0.0002291159267351467
estabilidad,0.0002290478641208168
puerta,0.00022872877379604632
posible,0.0002287096811894027
paga,0.00022818860208126325
tribunal supremo,0.00022810205576590412
cultural,0.00022802384684373218
salir,0.00022798302438705072
ganar,0.0002276981830235888
000 empleo,0.0002275829511526889
comportamiento,0.00022756249863240457
vulnerable,0.0002275565008126152
paliar,0.00022743269197744023
país señorías,0.00022726624573628403
ir llevar,0.00022721720989533564
legal,0.00022697134182586155
emprender,0.00022689736489885836
respetar ley,0.00022685184705162697
adjudicar,0.00022679611534554957
camino,0.00022652443840721963
cabo,0.00022651661469216927
lugar tener,0.000226297733329362
intelectual,0.00022625860836113584
adquisición,0.000226179129189156
aspecto,0.00022605389780600214
derecho vivienda,0.00022583682021436549
